Site,Página,Rótulo
zap,https://www.zapimoveis.com.br/informacao?opcao=termouso,0
zap,https://revista.zapimoveis.com.br/?utm_source=zapimoveis&utm_medium=link-header&utm_campaign=btn-zapemcasa,0
zap,https://fipezap.zapimoveis.com.br/,0
zap,https://zapimoveis.zendesk.com/hc/pt-br,0
zap,https://anuncie.zapimoveis.com.br/,0
zap,https://www.zapimoveis.com.br/Favorito/Listar,0
zap,https://revista.zapimoveis.com.br/imoveis-a-venda-no-entorno-do-carnaval/,0
zap,https://www.zapimoveis.com.br/alerta,0
zap,https://sala-de-imprensa.zapimoveis.com.br/,0
zap,https://www.zapimoveis.com.br/mapa/,0
zap,https://www.zapimoveis.com.br/lancamento/venda-apartamento-4-quartos-vila-mariana-zona-sul-sao-paulo-sp-246m2-id-2447323853/?contato=0,1
zap,https://www.zapimoveis.com.br/lancamento/venda-apartamento-2-quartos-torre-recife-pe-50m2-id-2448673382/?contato=0&oti=4,1
zap,https://www.zapimoveis.com.br/lancamento/venda-apartamento-2-quartos-madalena-recife-pe-45m2-id-2449923486/?contato=0&oti=4,1
zap,https://www.zapimoveis.com.br/lancamento/venda-apartamento-4-quartos-botafogo-zona-sul-rio-de-janeiro-rj-88m2-id-2437932380/?contato=0,1
zap,https://www.zapimoveis.com.br/lancamento/venda-apartamento-2-quartos-vila-isabel-zona-norte-rio-de-janeiro-rj-59m2-id-2435145953/?contato=0,1
zap,https://www.zapimoveis.com.br/imovel/aluguel-ponto-comercial-loja-box-aclimacao-centro-sao-paulo-sp-360m2-id-2450880874/,1
zap,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-zona-sul-sao-paulo-sp-29m2-id-2455064112/,1
zap,https://www.zapimoveis.com.br/lancamento/venda-apartamento-2-quartos-paraiso-zona-sul-sao-paulo-sp-66m2-id-2433538397/?contato=0,1
zap,https://www.zapimoveis.com.br/imovel/aluguel-ponto-comercial-loja-box-com-gas-encanado-andarai-zona-norte-rio-de-janeiro-rj-50m2-id-2452519180/?paginaoferta=4,1
zap,https://www.zapimoveis.com.br/imovel/aluguel-ponto-comercial-loja-box-com-ar-condicionado-botafogo-zona-sul-rio-de-janeiro-rj-210m2-id-2448551083/,1
olx,https://ajuda.olx.com.br/s/,0
olx,https://ajuda.olx.com.br/s/article/regras,0
olx,https://www.olx.com.br/seguranca/,0
olx,https://www.olx.com.br/testimonials.html,0
olx,https://ajuda.olx.com.br/s/article/termos-e-condicoes-de-uso,0
olx,https://ajuda.olx.com.br/s/article/politica-de-privacidade,0
olx,https://ajuda.olx.com.br/s/article/publicidade-para-empresas,0
olx,https://ajuda.olx.com.br/s/article/protecao-a-propriedade,0
olx,https://pe.olx.com.br/mapa-do-site/,0
olx,https://www.olx.com.br/tabela-fipe,0
olx,https://pe.olx.com.br/grande-recife/imoveis/alugo-apartamento-no-centro-de-gloria-de-4-quartos-1-suite-150m2-area-de-lazer-665248396,1
olx,https://pe.olx.com.br/grande-recife/imoveis/aluga-se-casa-665248042,1
olx,https://pe.olx.com.br/grande-recife/imoveis/recanto-do-sol-varios-apts-p-alugar-apart-850-taxas-incluso-665246949,1
olx,https://pe.olx.com.br/grande-recife/imoveis/imagine-voce-morando-proximo-ao-mar-2qts-46m-lazer-agende-uma-visita-665249086,1
olx,https://pe.olx.com.br/grande-recife/imoveis/3-quartos-sendo-1-suite-varanda-dependencia-completa-e-duas-vagas-de-garagem-651133537,1
olx,https://pe.olx.com.br/grande-recife/imoveis/766-ap-03-qts-dce-rosarinho-novo-c-armarios-planejados-padrao-md-644465653,1
olx,https://pe.olx.com.br/grande-recife/terrenos/terreno-na-praia-dos-carneiros-beira-mar-662040864,1
olx,https://pe.olx.com.br/grande-recife/comercio-e-industria/empresarial-padre-roma-parnamirim-27m2-tenho-2-salas-juntas-recife-620229922,1
olx,https://pe.olx.com.br/grande-recife/temporada/porto-de-galinhas-no-centro-ate-7-pessoas-665226658,1
olx,https://pe.olx.com.br/grande-recife/temporada/alugo-casa-em-itamaraca-ler-anuncio-665214988,1
vivareal,https://www.vivareal.com.br/empresa/blogs/,0
vivareal,https://www.vivareal.com.br/empresa/imprensa/,0
vivareal,https://www.vivareal.com.br/empresa/,0
vivareal,https://www.vivareal.com.br/blog/,0
vivareal,https://www.vivareal.com.br/simulador-minha-casa-minha-vida/,0
vivareal,https://www.vivareal.com.br/simulador-financiamento-imovel/,0
vivareal,https://www.vivareal.com.br/anunciar-imoveis/,0
vivareal,https://www.vivareal.com.br/legal/termos/,0
vivareal,https://www.vivareal.com.br/legal/privacidade/,0
vivareal,https://www.vivareal.com.br/empresa/interno/,0
vivareal,https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-varzea-bairros-recife-com-garagem-290m2-venda-RS890000-id-2432678093/,1
vivareal,https://www.vivareal.com.br/imovel/apartamento-3-quartos-encruzilhada-bairros-recife-com-garagem-68m2-venda-RS300000-id-2455517898/,1
vivareal,https://www.vivareal.com.br/imovel/fazenda---sitio-3-quartos-guabiraba-bairros-recife-com-garagem-15000m2-venda-RS600000-id-2449591749/,1
vivareal,https://www.vivareal.com.br/imoveis-lancamento/torreao-executive-plaza-1039049817/,1
vivareal,https://www.vivareal.com.br/imovel/apartamento-2-quartos-iputinga-bairros-recife-com-garagem-45m2-venda-RS205000-id-2442600076/,1
vivareal,https://www.vivareal.com.br/imovel/apartamento-2-quartos-campo-grande-bairros-recife-com-garagem-55m2-venda-RS220000-id-2443818590/,1
vivareal,https://www.vivareal.com.br/imovel/apartamento-3-quartos-encruzilhada-bairros-recife-com-garagem-75m2-venda-RS400000-id-2452902278/,1
vivareal,https://www.vivareal.com.br/imovel/apartamento-2-quartos-iputinga-bairros-recife-com-garagem-44m2-venda-RS205000-id-2450495547/,1
vivareal,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-77m2-venda-RS451500-id-2455415287/,1
vivareal,https://www.vivareal.com.br/imovel/apartamento-3-quartos-iputinga-bairros-recife-com-garagem-97m2-venda-RS270000-id-2449594298/,1
imovelweb,https://www.imovelweb.com.br/constructoras.bum,0
imovelweb,https://www.imovelweb.com.br/anuncie-seu-imovel,0
imovelweb,https://www.imovelweb.com.br/institucional.bum#politicas,0
imovelweb,https://www.imovelweb.com.br/institucional.bum#termos,0
imovelweb,https://www.imovelweb.com.br/sitemaps/,0
imovelweb,https://www.imovelweb.com.br/noticias/socorretor-home/,0
imovelweb,https://www.imovelweb.com.br/partners.bum,0
imovelweb,https://www.imovelweb.com.br/panel.bum,0
imovelweb,https://www.imovelweb.com.br/publicar.bum,0
imovelweb,https://www.imovelweb.com.br/precificador/#!/,0
imovelweb,https://www.imovelweb.com.br/propriedades/003-apartamento-04-quartos-2-suites-varanda-sala-2943762502.html,1
imovelweb,https://www.imovelweb.com.br/propriedades/oportunidade-via-jardins-04-suites-andar-mediando-2945275698.html,1
imovelweb,https://www.imovelweb.com.br/propriedades/edf.-praca-das-sequoias-2944167825.html,1
imovelweb,https://www.imovelweb.com.br/propriedades/repasse-apartamento-2quartos-1suite-totalmente-2943568725.html,1
imovelweb,https://www.imovelweb.com.br/propriedades/oportunidade-maria-lavinia-todo-reformado-andar-alto-2945240504.html,1
imovelweb,https://www.imovelweb.com.br/propriedades/4-quartos-155-m-vizinho-ao-extra-24h-de-boa-viagem-2944947392.html,1
imovelweb,https://www.imovelweb.com.br/propriedades/apartamento-2-dorm.-ed.-diplomata-premium-2933908310.html,1
imovelweb,https://www.imovelweb.com.br/propriedades/apartamento-de-frente-amplo-em-boa-viagem-bem-2936750775.html,1
imovelweb,https://www.imovelweb.com.br/propriedades/excelente-apartamento-03-quartos-beira-rio-2945236281.html,1
imovelweb,https://www.imovelweb.com.br/propriedades/apartamento-2943523214.html,1
chavesnamao,https://www.chavesnamao.com.br/blog-imobiliario/,0
chavesnamao,https://www.chavesnamao.com.br/central-de-ajuda/,0
chavesnamao,https://www.chavesnamao.com.br/quem-somos/,0
chavesnamao,https://www.chavesnamao.com.br/fale-conosco/,0
chavesnamao,https://www.chavesnamao.com.br/empresas-parceiras/,0
chavesnamao,https://www.chavesnamao.com.br/trabalhe-conosco/,0
chavesnamao,https://www.chavesnamao.com.br/mapa-do-site/,0
chavesnamao,https://www.chavesnamao.com.br/anunciar-gratis-imoveis-casas-apartamentos/,0
chavesnamao,https://www.chavesnamao.com.br/termos-de-uso/,0
chavesnamao,https://www.chavesnamao.com.br/politicas-de-privacidade/,0
chavesnamao,https://www.chavesnamao.com.br/imovel/casa-comercial-para-alugar-com-garagem-sp-sao-paulo-vila-mariana-RS20000/id-1626320/,1
chavesnamao,https://www.chavesnamao.com.br/imovel/casa-em-condominio-a-venda-3-quartos-com-garagem-sp-itupeva-jardim-primavera-1021m2-RS900000/id-1435852/,1
chavesnamao,https://www.chavesnamao.com.br/imovel/casa-a-venda-2-quartos-com-garagem-sp-jacarei-jardim-santa-marina-126m2-RS230000/id-1343613/,1
chavesnamao,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-1-quarto-sp-sao-paulo-jardim-paulista-RS3999/id-1420579/,1
chavesnamao,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sc-itajai-centro-RS370000/id-1789172/,1
chavesnamao,https://www.chavesnamao.com.br/imovel/cobertura-a-venda-3-quartos-com-garagem-mg-belo-horizonte-barroca-85m2-RS975000/id-1469791/,1
chavesnamao,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-4-quartos-com-garagem-rs-porto-alegre-farroupilha-130m2-RS280000/id-1233435/,1
chavesnamao,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sc-balneario-camboriu-centro-294m2-RS3200000/id-1745666/,1
chavesnamao,https://www.chavesnamao.com.br/imovel/casa-a-venda-2-quartos-com-garagem-pr-fazenda-rio-grande-eucaliptos-60m2-RS194990/id-1559918/,1
chavesnamao,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-real-parque-106m2-RS700000/id-1580927/,1
Ancora,https://ancoraimobiliaria.com.br/area-do-cliente,0
Ancora,https://ancoraimobiliaria.com.br/contratos/,0
Ancora,https://ancoraimobiliaria.com.br/trabalhe-conosco,0
Ancora,https://ancoraimobiliaria.com.br/contato/,0
Ancora,https://ancoraimobiliaria.com.br/cadastro/,0
Ancora,https://ancoraimobiliaria.com.br/encontre-meu-imovel,0
Ancora,https://ancoraimobiliaria.com.br/indique-e-ganhe/,0
Ancora,https://ancoraimobiliaria.com.br/sobre/,0
Ancora,https://ancoraimobiliaria.com.br/anunciar-imovel,0
Ancora,https://ancoraimobiliaria.com.br/favoritos/,0
Ancora,https://ancoraimobiliaria.com.br/imovel/02610.001/apartamento-2-quartos-muribara-sao-lourenco-da-mata/,1
Ancora,https://ancoraimobiliaria.com.br/imovel/02590.006/sala-boa-vista-recife/,1
Ancora,https://ancoraimobiliaria.com.br/imovel/02775.001/apartamento-2-quartos-sucupira-jaboatao-dos-guararapes/,1
Ancora,https://ancoraimobiliaria.com.br/imovel/02304.003/apartamento-1-quarto-candeias-jaboatao-dos-guararapes/,1
Ancora,https://ancoraimobiliaria.com.br/imovel/02805.001/apartamento-3-quartos-madalena-recife/,1
Ancora,https://ancoraimobiliaria.com.br/imovel/01934.001/apartamento-3-quartos-barra-de-jangada-jaboatao-dos-guararapes/,1
Ancora,https://ancoraimobiliaria.com.br/imovel/01863.001/apartamento-3-quartos-iputinga-recife/,1
Ancora,https://ancoraimobiliaria.com.br/imovel/02521.001/apartamento-2-quartos-sucupira-jaboatao-dos-guararapes/,1
Ancora,https://ancoraimobiliaria.com.br/imovel/01028.011/apartamento-3-quartos-piedade-jaboatao-dos-guararapes/,1
Ancora,https://ancoraimobiliaria.com.br/imovel/02748.001/apartamento-1-quarto-candeias-jaboatao-dos-guararapes/,1
expoimovel,https://www.expoimovel.com/anunciarimovel/,0
expoimovel,https://www.expoimovel.com/anunciarimoveis/imobiliaria,0
expoimovel,https://www.expoimovel.com/anunciarimoveis/corretor,0
expoimovel,https://www.expoimovel.com/AnunciantePessoaFisica.do?method=acesseSuaConta&idTipoAnunciante=2,0
expoimovel,https://www.expoimovel.com/contato.jsp,0
expoimovel,https://www.expoimovel.com/solicite.jsp,0
expoimovel,https://www.expoimovel.com/imobiliarias/,0
expoimovel,https://www.expoimovel.com/construtoras/,0
expoimovel,https://www.expoimovel.com/consorciodeimoveis/,0
expoimovel,https://www.expoimovel.com/simulador-financiamento.jsp,0
expoimovel,https://www.expoimovel.com/emp/edf-jayme-figueiredo-lancamento/1590/pt/BR/670,1
expoimovel,https://www.expoimovel.com/emp/edificio-mont-blanc-lancamento/1548/pt/BR/670,1
expoimovel,https://www.expoimovel.com/emp/ivani-silvestre-residence-lancamento/1457/pt/BR/670,1
expoimovel,https://www.expoimovel.com/emp/ed-diplomata-lancamento/1875/pt/BR/1155,1
expoimovel,https://www.expoimovel.com/emp/edificio-angel-lancamento/1402/pt/BR/670,1
expoimovel,https://www.expoimovel.com/emp/estacao-aristofanes-de-andrade-lancamento/1580/pt/BR/670,1
expoimovel,https://www.expoimovel.com/emp/bosque-boa-viagem-home-service-lancamento/1455/pt/BR/670,1
expoimovel,https://www.expoimovel.com/imovel/apartamentos-comprar-vender-aflitos-recife-pernambuco/283118/pt/BR/,1
expoimovel,https://www.expoimovel.com/imovel/apartamentos-comprar-vender-aflitos-recife-pernambuco/337375/pt/BR/,1
expoimovel,https://www.expoimovel.com/imovel/apartamentos-comprar-vender-aflitos-recife-pernambuco/360808/pt/BR/,1
newville,https://www.newville.com.br/encomende-seu-imovel,0
newville,https://www.newville.com.br/cadastre-seu-imovel,0
newville,https://www.newville.com.br/trabalhe-conosco,0
newville,https://www.newville.com.br/quem-somos,0
newville,https://www.newville.com.br/administracao-de-bens-locacao,0
newville,https://www.newville.com.br/avalie-seu-corretor,0
newville,https://newvillecond.superlogica.net/clients/areadocondomino,0
newville,https://www.newville.com.br/financiamento-e-bancos,0
newville,https://www.newville.com.br/cadastro-de-proposta,0
newville,https://www.newville.com.br/cadastro-de-locatario,0
newville,https://www.newville.com.br/imovel/apartamento-com-4-quartos-a-venda-255-m-por-2562880-casa-forte-recife-pe/AP1635-D3S,1
newville,https://www.newville.com.br/imovel/apartamento-com-4-quartos-a-venda-217-m-por-2600000-boa-viagem-recife-pe/AP1064-D3S,1
newville,https://www.newville.com.br/imovel/cobertura-com-5-quartos-a-venda-474-m-por-2800000-av-boa-viagem-recife-pe/CO0005-D3S,1
newville,https://www.newville.com.br/imovel/apartamento-com-4-quartos-a-venda-na-av-boa-viagem-no-pina/AP1941-D3S,1
newville,https://www.newville.com.br/imovel/apartamento-residencial-a-venda-piedade-jaboatao-dos-guararapes/AP0296-D3S,1
newville,https://www.newville.com.br/imovel/apartamento-com-4-quartos-a-venda-383-m-por-3200000-boa-viagem-recife-pe/AP1712-D3S,1
newville,https://www.newville.com.br/imovel/apartamento-com-4-quartos-a-venda-427-m-por-3200000-av-boa-viagem-recife-pe/AP1194-D3S,1
newville,https://www.newville.com.br/imovel/apartamento-com-4-dormitorios-a-venda-430-m-por-340000-casa-forte-recife-pe/AP1416-D3S,1
newville,https://www.newville.com.br/imovel/apartamento-com-4-dormitorios-a-venda-230-m-por-3950000-boa-viagem-recife-pe/AP1377-D3S,1
newville,https://www.newville.com.br/imovel/cobertura-com-4-quartos-a-venda-283-m-por-2500000-boa-viagem-recife-pe/CO0004-D3S,1
cti,https://www.ctiimobiliaria.com.br/fale-conosco,0
cti,https://www.ctiimobiliaria.com.br/cadastre-seu-imovel,0
cti,https://www.ctiimobiliaria.com.br/administracao-de-imoveis,0
cti,https://www.ctiimobiliaria.com.br/locacao,0
cti,https://www.ctiimobiliaria.com.br/vendas,0
cti,https://www.ctiimobiliaria.com.br/avalie-seu-corretor,0
cti,https://www.ctiimobiliaria.com.br/equipe,0
cti,https://www.ctiimobiliaria.com.br/conheca-a-cti,0
cti,https://www.ctiimobiliaria.com.br/faca-parte,0
cti,https://www.ctiimobiliaria.com.br/financiamento-e-bancos,0
cti,https://www.ctiimobiliaria.com.br/imovel/apartamento-de-53-m-na-rua-general-polidoro-cidade-universitaria-recife-pe-a-venda-por-r-329-500/AP0128-CTIB,1
cti,https://www.ctiimobiliaria.com.br/imovel/apartamento-de-123-m-na-rua-real-da-torre-1274-madalena-recife-pe-a-venda-por-r-686-000/AP0970-CTIB,1
cti,https://www.ctiimobiliaria.com.br/imovel/apartamento-de-32-m-na-rua-real-da-torre-337-torre-recife-pe-a-venda-por-r-238-000/AP0462-CTIB,1
cti,https://www.ctiimobiliaria.com.br/imovel/apartamento-de-60-m-na-rua-pajussara-110-tejipio-recife-pe-para-alugar-por-r-1-170-mes/AP1098-CTIB,1
cti,https://www.ctiimobiliaria.com.br/imovel/apartamento-de-55-m-na-rua-antonio-nogueira-85-cidade-universitaria-recife-pe-para-alugar-por-r-950-mes/AP0441-CTIB,1
cti,https://www.ctiimobiliaria.com.br/imovel/apartamento-de-82-m-na-rua-tres-de-maio-36-varzea-recife-pe-para-alugar-por-r-870-mes/AP0775-CTIB,1
cti,https://www.ctiimobiliaria.com.br/imovel/apartamento-de-48-m-na-rua-dona-maria-lacerda-166-varzea-recife-pe-a-venda-por-r-180-000/AP1004-CTIB,1
cti,https://www.ctiimobiliaria.com.br/imovel/apartamento-de-50-m-na-rua-sao-salvador-150-aflitos-recife-pe-a-venda-por-r-320-000/AP0516-CTIB,1
cti,https://www.ctiimobiliaria.com.br/imovel/apartamento-de-47-m-na-avenida-afonso-olindense-varzea-recife-pe-a-venda-por-r-235-000/AP0146-CTIB,1
cti,https://www.ctiimobiliaria.com.br/imovel/apartamento-de-87-m-na-rua-tenente-joao-cicero-787-boa-viagem-recife-pe-a-venda-por-460000/AP0288-CTIB,1
mercadolivre,https://www.mercadolivre.com/jms/mlb/lgz/msl/login/H4sIAAAAAAAEA0WNQQ6DMAwE_-IzgnuO_UhkEgeiJhg5TiuE-HtNparHHe-OTyi85M3rsRM4iJSwF4UB9oKaWKrP0XgthlpW-sX5rqBgJSVp4M7bs1B8kI1uU8LSyErYdfWp8NvY95WxhS2sqntz01QPDIH7pmMlCRi55JfQGLiOs_yvcA3mbOpVMDzBqXS6PjSkq26-AAAA/user,0
mercadolivre,https://www.mercadolivre.com.br/registration?confirmation_url=https%3A%2F%2Fwww.mercadolivre.com.br%2F#nav-header,0
mercadolivre,https://www.mercadolivre.com.br/categorias,0
mercadolivre,https://www.mercadolivre.com.br/ajuda/Compras_638,0
mercadolivre,https://www.mercadolivre.com.br/ajuda/Vender-un-producto_988,0
mercadolivre,https://www.mercadolivre.com.br/ajuda/seguranca_663,0
mercadolivre,https://www.mercadolivre.com.br/ajuda/Termos-e-condicoes-gerais-de-uso_1409,0
mercadolivre,https://www.mercadolivre.com.br/ajuda,0
mercadolivre,https://www.mercadolivre.com.br/ajuda/Pol%EDticas-de-Privacidade_1442,0
mercadolivre,https://www.mercadolivre.com.br/ajuda/custos-para-imobiliarias_1331,0
mercadolivre,https://casa.mercadolivre.com.br/MLB-1236681007-casa-comercial-para-locaco-boa-viagem-recife-ca0184-ca0184-_JM#featured-properties=10,1
mercadolivre,https://apartamento.mercadolivre.com.br/MLB-1314186170-apartamento-em-cordeiro-recifepe-de-64m-2-quartos-venda-por-r-16000000-ap280417-_JM#featured-properties=5,1
mercadolivre,https://apartamento.mercadolivre.com.br/MLB-1314579060-apartamento-em-ilha-do-retiro-recifepe-de-152m-4-quartos-venda-por-r-99000000-ap266595-_JM#featured-properties=9,1
mercadolivre,https://apartamento.mercadolivre.com.br/MLB-1314235463-apartamento-em-barro-recifepe-de-64m-3-quartos-venda-por-r-32400000-ap260847-_JM#featured-properties=8,1
mercadolivre,https://apartamento.mercadolivre.com.br/MLB-1303974770-firmino-fernades-boa-vista-_JM#featured-properties=7,1
mercadolivre,https://apartamento.mercadolivre.com.br/MLB-1314337147-apartamento-em-torre-recifepe-de-63m-2-quartos-venda-por-r-54000000-ap238429-_JM#featured-properties=6,1
mercadolivre,https://apartamento.mercadolivre.com.br/MLB-1267953141-apartamento-com-3-dorms-santo-amaro-recife-r-280-mil-cod-lnr38-vlnr38-_JM#featured-properties=0,1
mercadolivre,https://apartamento.mercadolivre.com.br/MLB-1314230453-apartamento-em-encruzilhada-recifepe-de-57m-3-quartos-venda-por-r-32500000-ap280539-_JM#featured-properties=1,1
mercadolivre,https://apartamento.mercadolivre.com.br/MLB-1278128387-apartamento-3-qtos-3-suites-100m2-nascente-17o-andar-_JM#featured-properties=2,1
mercadolivre,https://apartamento.mercadolivre.com.br/MLB-1318244414-apartamento-em-encruzilhada-recifepe-de-57m-2-quartos-venda-por-r-32500000-ap287935-_JM#featured-properties=3,1